schema_version	contrast_index	kda_run_id	source_contrast_id	fine_cell_type	broad_cell_type	signature_group	sex	apoe_group	query_mode	cells_ad	cells_nci	donors_ad	donors_nci	phase08_terminal_status	minimum_cells_per_deg_arm	passes_cell_floor	candidate_query_genes	effective_query_genes	minimum_effective_query_genes	passes_query_floor	phase12_eligibility_status	phase12_terminal_status	phase12_returned_driver_count	included_at_thresholds	exclusion_reason
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	1	primary_Ast_CHI3L1_F_e2_AD_both_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	Ast CHI3L1	Astrocytes	F_e2	Female	e2	AD_both_mito	105	1104	6	16	validated_complete	3	TRUE	10	9	3	TRUE	eligible	completed_significant	1	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	2	primary_Ast_DPP10_F_e2_AD_both_mito	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	Ast DPP10	Astrocytes	F_e2	Female	e2	AD_both_mito	560	936	8	17	validated_complete	3	TRUE	18	16	3	TRUE	eligible	completed_significant	2	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	3	primary_Ast_GRM3_F_e2_AD_both_mito	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	Ast GRM3	Astrocytes	F_e2	Female	e2	AD_both_mito	957	2720	8	17	validated_complete	3	TRUE	98	82	3	TRUE	eligible	completed_significant	9	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	4	primary_CAMs_F_e2_AD_both_mito	immune::CAMs::AD_vs_NCI__Female__e2	CAMs	CAMs	F_e2	Female	e2	AD_both_mito	23	85	6	12	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	5	primary_Exc_L2_3_CBLN2_LINC02306_F_e2_AD_both_mito	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	F_e2	Female	e2	AD_both_mito	3671	12562	8	17	validated_complete	3	TRUE	59	53	3	TRUE	eligible	completed_significant	8	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	6	primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e2	Exc L3-4 RORB CUX2	Excitatory_neurons	F_e2	Female	e2	AD_both_mito	2049	7715	8	16	validated_complete	3	TRUE	114	91	3	TRUE	eligible	completed_significant	37	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	7	primary_Exc_L3_5_RORB_PLCH1_F_e2_AD_both_mito	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e2	Exc L3-5 RORB PLCH1	Excitatory_neurons	F_e2	Female	e2	AD_both_mito	519	1284	8	16	validated_complete	3	TRUE	49	44	3	TRUE	eligible	completed_significant	16	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	8	primary_Exc_L4_5_RORB_GABRG1_F_e2_AD_both_mito	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e2	Exc L4-5 RORB GABRG1	Excitatory_neurons	F_e2	Female	e2	AD_both_mito	991	2612	8	16	validated_complete	3	TRUE	53	48	3	TRUE	eligible	completed_significant	8	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	9	primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e2	Female	e2	AD_both_mito	1430	4990	8	17	validated_complete	3	TRUE	124	104	3	TRUE	eligible	completed_significant	38	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	10	primary_Exc_L5_ET_F_e2_AD_both_mito	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e2	Exc L5 ET	Excitatory_neurons	F_e2	Female	e2	AD_both_mito	26	140	6	16	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	11	primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_both_mito	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e2	Exc L5-6 RORB LINC02196	Excitatory_neurons	F_e2	Female	e2	AD_both_mito	266	899	8	16	validated_complete	3	TRUE	72	64	3	TRUE	eligible	completed_significant	30	TRUE	NA
