schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	contrast_family	contrast_name	eligibility_status	terminal_status	message
mito_fraction_contrast_status_v1	excitatory_set2	57	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Female__e2	Exc L3-4 RORB CUX2	AD_vs_NCI	AD_vs_NCI__Female__e2	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set2	58	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Female__e33	Exc L3-4 RORB CUX2	AD_vs_NCI	AD_vs_NCI__Female__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set2	59	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Female__e4	Exc L3-4 RORB CUX2	AD_vs_NCI	AD_vs_NCI__Female__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set2	60	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Male__e2	Exc L3-4 RORB CUX2	AD_vs_NCI	AD_vs_NCI__Male__e2	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set2	61	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Male__e33	Exc L3-4 RORB CUX2	AD_vs_NCI	AD_vs_NCI__Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set2	62	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Male__e4	Exc L3-4 RORB CUX2	AD_vs_NCI	AD_vs_NCI__Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set2	63	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_Female_minus_Male__e2	Exc L3-4 RORB CUX2	sex_interaction	AD_effect_Female_minus_Male__e2	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set2	64	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_Female_minus_Male__e33	Exc L3-4 RORB CUX2	sex_interaction	AD_effect_Female_minus_Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set2	65	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_Female_minus_Male__e4	Exc L3-4 RORB CUX2	sex_interaction	AD_effect_Female_minus_Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set2	66	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_e2_minus_e33__Female	Exc L3-4 RORB CUX2	apoe_interaction	AD_effect_e2_minus_e33__Female	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set2	67	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_e4_minus_e33__Female	Exc L3-4 RORB CUX2	apoe_interaction	AD_effect_e4_minus_e33__Female	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set2	68	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_e2_minus_e33__Male	Exc L3-4 RORB CUX2	apoe_interaction	AD_effect_e2_minus_e33__Male	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set2	69	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_e4_minus_e33__Male	Exc L3-4 RORB CUX2	apoe_interaction	AD_effect_e4_minus_e33__Male	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set2	70	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_heterogeneity_across_sex_APOE	Exc L3-4 RORB CUX2	global_heterogeneity	AD_effect_heterogeneity_across_sex_APOE	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set2	71	excitatory_set2::Exc.L3.5.RORB.PLCH1::AD_vs_NCI__Female__e2	Exc L3-5 RORB PLCH1	AD_vs_NCI	AD_vs_NCI__Female__e2	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set2	72	excitatory_set2::Exc.L3.5.RORB.PLCH1::AD_vs_NCI__Female__e33	Exc L3-5 RORB PLCH1	AD_vs_NCI	AD_vs_NCI__Female__e33	eligible	validated_complete	
