schema_version	record_type	display_order	gene	contexts	final_grade	context_count	value	share	primary_label	secondary_label	tertiary_label	evidence_id	style_key	source_rows
genetic_support_slide_summary_v1	outcome_segment	1	NA	NA	strong	1	1	0.02127659574468085	Strong	1 candidate-context units	NA	NA	strong_blue	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	outcome_segment	2	NA	NA	moderate	0	0	0.0	Moderate	0 candidate-context units	NA	NA	moderate_green	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	outcome_segment	3	NA	NA	weak	3	3	0.06382978723404255	Weak / limited	3 candidate-context units	NA	NA	weak_orange	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	outcome_segment	4	NA	NA	none_found	23	23	0.48936170212765956	No direct mapping	23 candidate-context units	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	outcome_segment	5	NA	NA	not_assessable	20	20	0.425531914893617	Not assessable	20 candidate-context units	NA	NA	not_assessable_open	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	candidate_card	1	APOE	Astrocytes	strong	1	1	0.02127659574468085	STRONG GENE-LEVEL SUPPORT	rs429358  •  AD fine-map inclusion 1.0  •  P ≈ $1.88 \times 10^{-155}$	Fallback brain evidence; not an exact astrocyte colocalization	rs429358	strong_blue	genetic_support_evidence_summary.tsv|genetic_support_common_variant_evidence.tsv.gz|genetic_support_colocalization.tsv.gz
genetic_support_slide_summary_v1	candidate_card	2	COX7C	Astrocytes + inhibitory neurons	weak	2	2	0.0425531914893617	WEAK / LIMITED	rs2010322  •  bulk sQTL CL5  •  AD P ≈ $2.64 \times 10^{-6}$	One source result shown in two network contexts; not two replications	rs2010322	weak_orange	genetic_support_evidence_summary.tsv|genetic_support_common_variant_evidence.tsv.gz|genetic_support_colocalization.tsv.gz
genetic_support_slide_summary_v1	candidate_card	3	SELENOW	Excitatory neurons	weak	1	1	0.02127659574468085	WEAK / LIMITED	Reported in the source TWAS gene list	Model statistic and exact excitatory context unavailable in the public table	TWAS_gene_list	weak_orange	genetic_support_evidence_summary.tsv|genetic_support_common_variant_evidence.tsv.gz|genetic_support_colocalization.tsv.gz
genetic_support_slide_summary_v1	no_direct_gene	1	ANKRD11	OPCs	none_found	1	1	0.02127659574468085	ANKRD11	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	no_direct_gene	2	ATP6V1F	Inhibitory neurons	none_found	1	1	0.02127659574468085	ATP6V1F	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	no_direct_gene	3	COX4I1	Astrocytes + excitatory neurons	none_found	2	2	0.0425531914893617	COX4I1	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	no_direct_gene	4	COX6B1	Excitatory neurons	none_found	1	1	0.02127659574468085	COX6B1	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	no_direct_gene	5	DYNLT1	Excitatory neurons	none_found	1	1	0.02127659574468085	DYNLT1	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	no_direct_gene	6	FTL	OPCs	none_found	1	1	0.02127659574468085	FTL	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	no_direct_gene	7	LAMTOR5	Excitatory neurons + inhibitory neurons	none_found	2	2	0.0425531914893617	LAMTOR5	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	no_direct_gene	8	LAPTM4A	Astrocytes	none_found	1	1	0.02127659574468085	LAPTM4A	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	no_direct_gene	9	NCOA1	OPCs	none_found	1	1	0.02127659574468085	NCOA1	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	no_direct_gene	10	RPL11	Astrocytes, Excitatory neurons, Microglia, Oligodendrocytes	none_found	4	4	0.0851063829787234	RPL11	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	no_direct_gene	11	RPL15	Astrocytes	none_found	1	1	0.02127659574468085	RPL15	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	no_direct_gene	12	RPL38	Inhibitory neurons	none_found	1	1	0.02127659574468085	RPL38	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	no_direct_gene	13	RPLP1	Astrocytes + inhibitory neurons	none_found	2	2	0.0425531914893617	RPLP1	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	no_direct_gene	14	RPS13	Excitatory neurons	none_found	1	1	0.02127659574468085	RPS13	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	no_direct_gene	15	RPS15	Inhibitory neurons + opcs	none_found	2	2	0.0425531914893617	RPS15	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	no_direct_gene	16	UQCR10	Excitatory neurons	none_found	1	1	0.02127659574468085	UQCR10	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	not_assessable_gene	1	MT-ATP6	Astrocytes + vasculature cells	not_assessable	2	2	0.0425531914893617	MT-ATP6	NA	NA	NA	not_assessable_open	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	not_assessable_gene	2	MT-CO2	Astrocytes, Excitatory neurons, Inhibitory neurons, Microglia, OPCs, Oligodendrocytes, Vasculature cells	not_assessable	7	7	0.14893617021276595	MT-CO2	NA	NA	NA	not_assessable_open	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	not_assessable_gene	3	MT-CO3	Astrocytes, Inhibitory neurons, OPCs, Vasculature cells	not_assessable	4	4	0.0851063829787234	MT-CO3	NA	NA	NA	not_assessable_open	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	not_assessable_gene	4	MT-CYB	Excitatory neurons + inhibitory neurons	not_assessable	2	2	0.0425531914893617	MT-CYB	NA	NA	NA	not_assessable_open	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	not_assessable_gene	5	MT-ND4	Microglia, OPCs, Oligodendrocytes, Vasculature cells	not_assessable	4	4	0.0851063829787234	MT-ND4	NA	NA	NA	not_assessable_open	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	not_assessable_gene	6	MT-ND5	Inhibitory neurons	not_assessable	1	1	0.02127659574468085	MT-ND5	NA	NA	NA	not_assessable_open	genetic_support_evidence_summary.tsv
genetic_support_slide_summary_v1	boundary	1	NA	NA	NA	47	47	1.0	No direct map ≠ no genetic role    •    Not assessable ≠ negative	Evidence categories summarize source coverage and direct mapping; they are not causal probabilities.	NA	NA	boundary_navy	genetic_support_evidence_summary.tsv|genetic_support_assessability.tsv
