query_order	query_id	background_id	contrast_order	contrast_id	kda_run_id	rds_id	fine_cell_type	broad_cell_type	signature_group	sex	apoe_group	query_mode	query_direction	structural_status	structurally_available	source_significant_feature_rows	mapped_unique_query_genes	duplicate_symbol_collapses	query_size	background_size	query_status	schema_version
1	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2::AD_any_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	1	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	NA	astrocytes	Ast CHI3L1	Astrocytes	F_e2	Female	e2	AD_any_mito	any	estimable_validated	TRUE	10	10	0	10	656	testable_query	fine_deg_pathway_query_manifest_v1
2	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2::AD_up_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	1	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	NA	astrocytes	Ast CHI3L1	Astrocytes	F_e2	Female	e2	AD_up_mito	up	estimable_validated	TRUE	7	7	0	7	656	testable_query	fine_deg_pathway_query_manifest_v1
3	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2::AD_down_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	1	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	NA	astrocytes	Ast CHI3L1	Astrocytes	F_e2	Female	e2	AD_down_mito	down	estimable_validated	TRUE	3	3	0	3	656	testable_query	fine_deg_pathway_query_manifest_v1
4	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33::AD_any_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	2	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	NA	astrocytes	Ast CHI3L1	Astrocytes	F_e33	Female	e33	AD_any_mito	any	estimable_validated	TRUE	58	58	0	58	676	testable_query	fine_deg_pathway_query_manifest_v1
5	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33::AD_up_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	2	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	NA	astrocytes	Ast CHI3L1	Astrocytes	F_e33	Female	e33	AD_up_mito	up	estimable_validated	TRUE	33	33	0	33	676	testable_query	fine_deg_pathway_query_manifest_v1
6	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33::AD_down_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	2	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	NA	astrocytes	Ast CHI3L1	Astrocytes	F_e33	Female	e33	AD_down_mito	down	estimable_validated	TRUE	25	25	0	25	676	testable_query	fine_deg_pathway_query_manifest_v1
7	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4::AD_any_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	3	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	NA	astrocytes	Ast CHI3L1	Astrocytes	F_e4	Female	e4	AD_any_mito	any	estimable_validated	TRUE	89	89	0	89	658	testable_query	fine_deg_pathway_query_manifest_v1
8	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4::AD_up_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	3	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	NA	astrocytes	Ast CHI3L1	Astrocytes	F_e4	Female	e4	AD_up_mito	up	estimable_validated	TRUE	36	36	0	36	658	testable_query	fine_deg_pathway_query_manifest_v1
9	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4::AD_down_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	3	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	NA	astrocytes	Ast CHI3L1	Astrocytes	F_e4	Female	e4	AD_down_mito	down	estimable_validated	TRUE	53	53	0	53	658	testable_query	fine_deg_pathway_query_manifest_v1
10	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2::AD_any_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	4	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	NA	astrocytes	Ast CHI3L1	Astrocytes	M_e2	Male	e2	AD_any_mito	any	estimable_validated	TRUE	18	18	0	18	491	testable_query	fine_deg_pathway_query_manifest_v1
11	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2::AD_up_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	4	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	NA	astrocytes	Ast CHI3L1	Astrocytes	M_e2	Male	e2	AD_up_mito	up	estimable_validated	TRUE	11	11	0	11	491	testable_query	fine_deg_pathway_query_manifest_v1
12	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2::AD_down_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	4	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	NA	astrocytes	Ast CHI3L1	Astrocytes	M_e2	Male	e2	AD_down_mito	down	estimable_validated	TRUE	7	7	0	7	491	testable_query	fine_deg_pathway_query_manifest_v1
13	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33::AD_any_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	5	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	NA	astrocytes	Ast CHI3L1	Astrocytes	M_e33	Male	e33	AD_any_mito	any	estimable_validated	TRUE	32	32	0	32	656	testable_query	fine_deg_pathway_query_manifest_v1
