schema_version	rds_id	check	passed	observed	expected
yu_mast_de_checks_v2	vasculature	expected_fine_cell_types	TRUE	5	5
yu_mast_de_checks_v2	vasculature	six_yu_contrasts_per_cell_type	TRUE	30	30
yu_mast_de_checks_v2	vasculature	six_yu_contrast_labels	TRUE	6	6
yu_mast_de_checks_v2	vasculature	one_status_per_manifest_row	TRUE	30	30
yu_mast_de_checks_v2	vasculature	all_rows_have_terminal_outcome	TRUE	not_estimable,validated_complete	validated_complete;not_estimable;failed
yu_mast_de_checks_v2	vasculature	all_estimable_rows_completed	TRUE	29	29
yu_mast_de_checks_v2	vasculature	no_failed_contrasts	TRUE	0	0
yu_mast_de_checks_v2	vasculature	result_keys_unique	TRUE	0	0
yu_mast_de_checks_v2	vasculature	result_population_is_all_cohort_nuclei	TRUE	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei
yu_mast_de_checks_v2	vasculature	p_values_in_range	TRUE	0	0
yu_mast_de_checks_v2	vasculature	fdr_in_range	TRUE	0	0
yu_mast_de_checks_v2	vasculature	detection_threshold_respected	TRUE	0	0
yu_mast_de_checks_v2	vasculature	paper_deg_rule_reproduced	TRUE	0	0
yu_mast_de_checks_v2	vasculature	normalized_rds_unchanged	TRUE	89be4cdfd33fbf14b157daad04eb57b4f42dc61f9a1772b9cb08669ab9d7e701	89be4cdfd33fbf14b157daad04eb57b4f42dc61f9a1772b9cb08669ab9d7e701
